| Idx | Short Name                                         | Start (ns)       | End (ns)         | Duration (ns) | Stream | Category        | Grid       | Block      | Regs/Thr | ShMem (B) | Comm Algorithm              | Comm Size Hint                    | Xfer Bytes | Xfer Kind | Full Name                                                                                                                                                                                                |
| 120 | triton_poi_fused_add_copy_expand_index_mul_neg_... | 3519584433024289 | 3519584433026177 | 1888          | 23     | compute_kernel  | (2,1,1)    | (128,1,1)  | 56       | 0         |                             |                                   |            |           | triton_poi_fused_add_copy_expand_index_mul_neg_slice_split_stack_unsqueeze_view_3                                                                                                                        |
| 121 | void vllm::concat_and_cache_mla_kernel<__nv_bfl... | 3519584433026496 | 3519584433028481 | 1985          | 23     | compute_kernel  | (1,1,1)    | (512,1,1)  | 30       | 0         |                             |                                   |            |           | void vllm::concat_and_cache_mla_kernel<__nv_bfloat16, unsigned char, (vllm::Fp8KVCacheDataType)1>(__nv_bfloat16 const*, __nv_bfloat16 const*, unsigned char*, long const*, int, int, int, int, int, i... |
| 122 | nvjet_sm100_tst_64x8_64x16_4x1_v_bz_NNT            | 3519584433028481 | 3519584433031297 | 2816          | 23     | compute_kernel  | (64,1,1)   | (256,1,1)  | 255      | 156168    |                             |                                   |            |           | nvjet_sm100_tst_64x8_64x16_4x1_v_bz_NNT                                                                                                                                                                  |
| 123 | triton_poi_fused__to_copy_cat_clamp_mul_recipro... | 3519584433031873 | 3519584433033857 | 1984          | 23     | compute_kernel  | (18,1,1)   | (128,1,1)  | 16       | 0         |                             |                                   |            |           | triton_poi_fused__to_copy_cat_clamp_mul_reciprocal_view_0                                                                                                                                                |
| 124 | fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512HVP... | 3519584433034017 | 3519584433043297 | 9280          | 23     | compute_kernel  | (74,2,1)   | (512,1,1)  | 128      | 161456    |                             |                                   |            |           | fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512HVPerCta256PagedKvDenseP32MultiCtasKvVarSeqQ8Kv128StaticSwapsAbForGen                                                                                        |
| 125 | nvjet_sm100_tst_8x64_64x16_4x1_v_bz_TNN            | 3519584433043008 | 3519584433046817 | 3809          | 23     | compute_kernel  | (128,1,1)  | (256,1,1)  | 255      | 156168    |                             |                                   |            |           | nvjet_sm100_tst_8x64_64x16_4x1_v_bz_TNN                                                                                                                                                                  |
| 126 | nvjet_sm100_tst_64x8_64x16_4x1_v_bz_TNT            | 3519584433045697 | 3519584433051233 | 5536          | 23     | compute_kernel  | (112,1,1)  | (256,1,1)  | 255      | 156168    |                             |                                   |            |           | nvjet_sm100_tst_64x8_64x16_4x1_v_bz_TNT                                                                                                                                                                  |
| 127 | void flashinfer::trtllm_allreduce_fusion::allre... | 3519584433049536 | 3519584433059169 | 9633          | 23     | communication   | (4,1,1)    | (224,1,1)  | 62       | 136       | flashinfer_allreduce_fusion |                                   |            |           | void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, true, true>(flashinfer::trtllm_al... |
| 128 | void router_gemm_kernel_float_output<__nv_bfloa... | 3519584433059521 | 3519584433062593 | 3072          | 23     | compute_kernel  | (384,1,1)  | (128,1,1)  | 64       | 16        |                             |                                   |            |           | void router_gemm_kernel_float_output<__nv_bfloat16, 128, 8, 1, 384, 7168>(float*, __nv_bfloat16 const*, __nv_bfloat16 const*)                                                                            |
| 129 | void at::native::vectorized_elementwise_kernel<... | 3519584433059809 | 3519584433061185 | 1376          | 5644   | compute_kernel  | (14,1,1)   | (128,1,1)  | 16       | 0         |                             |                                   |            |           | void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>)                                      |
| 130 | void vllm::cvt_fp16_to_fp4<__nv_bfloat16, false... | 3519584433061825 | 3519584433063809 | 1984          | 5644   | compute_kernel  | (128,2,1)  | (512,1,1)  | 32       | 0         |                             |                                   |            |           | void vllm::cvt_fp16_to_fp4<__nv_bfloat16, false>(int, int, int, __nv_bfloat16 const*, float const*, unsigned int*, unsigned int*)                                                                        |
| 131 | void at::native::vectorized_elementwise_kernel<... | 3519584433063041 | 3519584433064865 | 1824          | 23     | compute_kernel  | (1,1,1)    | (128,1,1)  | 16       | 0         |                             |                                   |            |           | void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<unsigned char>, std::array<char*, 1ul> >(int, at::native::FillFunctor<unsigned char>, std::array<char*, 1ul>)                  |
| 132 | _ZN7cutlass13device_kernelIN10flashinfer4gemm58... | 3519584433064001 | 3519584433073345 | 9344          | 5644   | compute_kernel  | (2,4,1)    | (256,1,1)  | 89       | 218112    |                             |                                   |            |           | _ZN7cutlass13device_kernelIN10flashinfer4gemm58DeviceGemmFp4GemmSm100___nv_bfloat16_128_128_256_2_4_1_2SM12Sm10x11xOnlyINS_4gemm6kernel13GemmUniversalIN4cute5tupleIJiiiiEEENS5_10collective13Collect... |
| 133 | void vllm::cvt_fp16_to_fp4_sf_major<__nv_bfloat... | 3519584433065345 | 3519584433067553 | 2208          | 23     | compute_kernel  | (1,2,1)    | (512,1,1)  | 32       | 0         |                             |                                   |            |           | void vllm::cvt_fp16_to_fp4_sf_major<__nv_bfloat16, false>(int, int, int, int, __nv_bfloat16 const*, float const*, unsigned int*, unsigned int*)                                                          |
| 134 | void at::native::vectorized_elementwise_kernel<... | 3519584433068033 | 3519584433069953 | 1920          | 23     | compute_kernel  | (1,1,1)    | (128,1,1)  | 32       | 0         |                             |                                   |            |           | void at::native::vectorized_elementwise_kernel<8, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::bfloat16_copy_kernel_c... |
| 135 | void moe::dev::routing::routingCustom::routingI... | 3519584433070113 | 3519584433077601 | 7488          | 23     | compute_kernel  | (1,1,1)    | (384,1,1)  | 40       | 4768      |                             |                                   |            |           | void moe::dev::routing::routingCustom::routingIndicesBlockKernel<moe::dev::routing::routingCustom::KernelParams<float, __nv_bfloat16, 384, 8, moe::dev::routing::TopKExpertSelect<moe::dev::routing::... |
| 136 | triton_poi_fused_mul_silu_slice_0                  | 3519584433073665 | 3519584433075617 | 1952          | 5644   | compute_kernel  | (2,1,1)    | (128,1,1)  | 16       | 0         |                             |                                   |            |           | triton_poi_fused_mul_silu_slice_0                                                                                                                                                                        |
| 137 | void at::native::vectorized_elementwise_kernel<... | 3519584433076065 | 3519584433077281 | 1216          | 5644   | compute_kernel  | (1,1,1)    | (128,1,1)  | 16       | 0         |                             |                                   |            |           | void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>)                                      |
| 138 | bmm_E2m1_E2m1E2m1_Fp32_bA16_bB16_bC16_t128x8x51... | 3519584433077313 | 3519584433087809 | 10496         | 23     | compute_kernel  | (4,8,1)    | (512,1,1)  | 128      | 202240    |                             |                                   |            |           | bmm_E2m1_E2m1E2m1_Fp32_bA16_bB16_bC16_t128x8x512u2_s5_et128x8_m128x8x64_c1x1x1_16dp256b_rM_TN_transOut_schedS_biasFp32M_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_dynB_sm100f                                 |
| 139 | void vllm::cvt_fp16_to_fp4<__nv_bfloat16, false... | 3519584433077761 | 3519584433079265 | 1504          | 5644   | compute_kernel  | (128,1,1)  | (32,1,1)   | 32       | 0         |                             |                                   |            |           | void vllm::cvt_fp16_to_fp4<__nv_bfloat16, false>(int, int, int, __nv_bfloat16 const*, float const*, unsigned int*, unsigned int*)                                                                        |
| 140 | _ZN7cutlass13device_kernelIN10flashinfer4gemm58... | 3519584433079457 | 3519584433084513 | 5056          | 5644   | compute_kernel  | (2,56,1)   | (256,1,1)  | 89       | 218112    |                             |                                   |            |           | _ZN7cutlass13device_kernelIN10flashinfer4gemm58DeviceGemmFp4GemmSm100___nv_bfloat16_128_128_256_2_4_1_2SM12Sm10x11xOnlyINS_4gemm6kernel13GemmUniversalIN4cute5tupleIJiiiiEEENS5_10collective13Collect... |
| 141 | bmm_Bfloat16_E2m1E2m1_Fp32_bA16_bB16_t128x8x256... | 3519584433083681 | 3519584433091585 | 7904          | 23     | compute_kernel  | (56,8,1)   | (512,1,1)  | 128      | 124752    |                             |                                   |            |           | bmm_Bfloat16_E2m1E2m1_Fp32_bA16_bB16_t128x8x256_s6_et128x8_m128x8x64_c1x1x1_16dp256b_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_rgTma_clmp_dynB_sm100f                                                     |
| 142 | void moe::dev::finalize::finalizeKernel<moe::de... | 3519584433090049 | 3519584433094273 | 4224          | 23     | compute_kernel  | (28,1,1)   | (256,1,1)  | 32       | 0         |                             |                                   |            |           | void moe::dev::finalize::finalizeKernel<moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true> >(moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16... |
| 143 | triton_poi_fused_add_mul_0                         | 3519584433094465 | 3519584433095841 | 1376          | 23     | compute_kernel  | (7,1,1)    | (128,1,1)  | 26       | 0         |                             |                                   |            |           | triton_poi_fused_add_mul_0                                                                                                                                                                               |
| 144 | void flashinfer::trtllm_allreduce_fusion::allre... | 3519584433095841 | 3519584433105121 | 9280          | 23     | communication   | (4,1,1)    | (224,1,1)  | 62       | 136       | flashinfer_allreduce_fusion |                                   |            |           | void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, true, true>(flashinfer::trtllm_al... |
| 145 | void fused_a_gemm_kernel<1, 2112, 7168, 16, 8, ... | 3519584433105473 | 3519584433113601 | 8128          | 23     | compute_kernel  | (132,1,1)  | (256,1,1)  | 48       | 197632    |                             |                                   |            |           | void fused_a_gemm_kernel<1, 2112, 7168, 16, 8, 256, 16>(__nv_bfloat16*, __nv_bfloat16 const*, __nv_bfloat16 const*, int)                                                                                 |
| 146 | triton_poi_fused_1                                 | 3519584433113953 | 3519584433115521 | 1568          | 23     | compute_kernel  | (1,1,1)    | (128,1,1)  | 47       | 0         |                             |                                   |            |           | triton_poi_fused_1                                                                                                                                                                                       |
| 147 | triton_red_fused_2                                 | 3519584433115873 | 3519584433118497 | 2624          | 23     | compute_kernel  | (2,1,1)    | (512,1,1)  | 26       | 8192      |                             |                                   |            |           | triton_red_fused_2                                                                                                                                                                                       |
| 148 | nvjet_sm100_tst_16x64_64x16_4x1_v_bz_TNN           | 3519584433118465 | 3519584433124097 | 5632          | 23     | compute_kernel  | (96,1,1)   | (256,1,1)  | 255      | 172552    |                             |                                   |            |           | nvjet_sm100_tst_16x64_64x16_4x1_v_bz_TNN                                                                                                                                                                 |
| 149 | triton_poi_fused_add_copy_expand_index_mul_neg_... | 3519584433124641 | 3519584433126529 | 1888          | 23     | compute_kernel  | (2,1,1)    | (128,1,1)  | 56       | 0         |                             |                                   |            |           | triton_poi_fused_add_copy_expand_index_mul_neg_slice_split_stack_unsqueeze_view_3                                                                                                                        |
| 150 | void vllm::concat_and_cache_mla_kernel<__nv_bfl... | 3519584433126881 | 3519584433129185 | 2304          | 23     | compute_kernel  | (1,1,1)    | (512,1,1)  | 30       | 0         |                             |                                   |            |           | void vllm::concat_and_cache_mla_kernel<__nv_bfloat16, unsigned char, (vllm::Fp8KVCacheDataType)1>(__nv_bfloat16 const*, __nv_bfloat16 const*, unsigned char*, long const*, int, int, int, int, int, i... |
| 151 | nvjet_sm100_tst_64x8_64x16_4x1_v_bz_NNT            | 3519584433129217 | 3519584433132065 | 2848          | 23     | compute_kernel  | (64,1,1)   | (256,1,1)  | 255      | 156168    |                             |                                   |            |           | nvjet_sm100_tst_64x8_64x16_4x1_v_bz_NNT                                                                                                                                                                  |
| 152 | triton_poi_fused__to_copy_cat_clamp_mul_recipro... | 3519584433132385 | 3519584433134017 | 1632          | 23     | compute_kernel  | (18,1,1)   | (128,1,1)  | 16       | 0         |                             |                                   |            |           | triton_poi_fused__to_copy_cat_clamp_mul_reciprocal_view_0                                                                                                                                                |
| 153 | fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512HVP... | 3519584433134017 | 3519584433143233 | 9216          | 23     | compute_kernel  | (74,2,1)   | (512,1,1)  | 128      | 161456    |                             |                                   |            |           | fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512HVPerCta256PagedKvDenseP32MultiCtasKvVarSeqQ8Kv128StaticSwapsAbForGen                                                                                        |
| 154 | nvjet_sm100_tst_8x64_64x16_4x1_v_bz_TNN            | 3519584433142945 | 3519584433146657 | 3712          | 23     | compute_kernel  | (128,1,1)  | (256,1,1)  | 255      | 156168    |                             |                                   |            |           | nvjet_sm100_tst_8x64_64x16_4x1_v_bz_TNN                                                                                                                                                                  |
| 155 | nvjet_sm100_tst_64x8_64x16_4x1_v_bz_TNT            | 3519584433145953 | 3519584433151361 | 5408          | 23     | compute_kernel  | (112,1,1)  | (256,1,1)  | 255      | 156168    |                             |                                   |            |           | nvjet_sm100_tst_64x8_64x16_4x1_v_bz_TNT                                                                                                                                                                  |
| 156 | void flashinfer::trtllm_allreduce_fusion::allre... | 3519584433149697 | 3519584433158273 | 8576          | 23     | communication   | (4,1,1)    | (224,1,1)  | 62       | 136       | flashinfer_allreduce_fusion |                                   |            |           | void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, true, true>(flashinfer::trtllm_al... |
| 157 | void router_gemm_kernel_float_output<__nv_bfloa... | 3519584433158625 | 3519584433161697 | 3072          | 23     | compute_kernel  | (384,1,1)  | (128,1,1)  | 64       | 16        |                             |                                   |            |           | void router_gemm_kernel_float_output<__nv_bfloat16, 128, 8, 1, 384, 7168>(float*, __nv_bfloat16 const*, __nv_bfloat16 const*)                                                                            |
| 158 | void at::native::vectorized_elementwise_kernel<... | 3519584433158881 | 3519584433160289 | 1408          | 5644   | compute_kernel  | (14,1,1)   | (128,1,1)  | 16       | 0         |                             |                                   |            |           | void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>)                                      |
| 159 | void vllm::cvt_fp16_to_fp4<__nv_bfloat16, false... | 3519584433160929 | 3519584433162785 | 1856          | 5644   | compute_kernel  | (128,2,1)  | (512,1,1)  | 32       | 0         |                             |                                   |            |           | void vllm::cvt_fp16_to_fp4<__nv_bfloat16, false>(int, int, int, __nv_bfloat16 const*, float const*, unsigned int*, unsigned int*)                                                                        |
| 160 | void at::native::vectorized_elementwise_kernel<... | 3519584433162145 | 3519584433164641 | 2496          | 23     | compute_kernel  | (1,1,1)    | (128,1,1)  | 16       | 0         |                             |                                   |            |           | void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<unsigned char>, std::array<char*, 1ul> >(int, at::native::FillFunctor<unsigned char>, std::array<char*, 1ul>)                  |
| 161 | _ZN7cutlass13device_kernelIN10flashinfer4gemm58... | 3519584433163073 | 3519584433172481 | 9408          | 5644   | compute_kernel  | (2,4,1)    | (256,1,1)  | 89       | 218112    |                             |                                   |            |           | _ZN7cutlass13device_kernelIN10flashinfer4gemm58DeviceGemmFp4GemmSm100___nv_bfloat16_128_128_256_2_4_1_2SM12Sm10x11xOnlyINS_4gemm6kernel13GemmUniversalIN4cute5tupleIJiiiiEEENS5_10collective13Collect... |
| 162 | void vllm::cvt_fp16_to_fp4_sf_major<__nv_bfloat... | 3519584433165217 | 3519584433167585 | 2368          | 23     | compute_kernel  | (1,2,1)    | (512,1,1)  | 32       | 0         |                             |                                   |            |           | void vllm::cvt_fp16_to_fp4_sf_major<__nv_bfloat16, false>(int, int, int, int, __nv_bfloat16 const*, float const*, unsigned int*, unsigned int*)                                                          |
| 163 | void at::native::vectorized_elementwise_kernel<... | 3519584433168065 | 3519584433170113 | 2048          | 23     | compute_kernel  | (1,1,1)    | (128,1,1)  | 32       | 0         |                             |                                   |            |           | void at::native::vectorized_elementwise_kernel<8, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::bfloat16_copy_kernel_c... |
| 164 | void moe::dev::routing::routingCustom::routingI... | 3519584433170241 | 3519584433177697 | 7456          | 23     | compute_kernel  | (1,1,1)    | (384,1,1)  | 40       | 4768      |                             |                                   |            |           | void moe::dev::routing::routingCustom::routingIndicesBlockKernel<moe::dev::routing::routingCustom::KernelParams<float, __nv_bfloat16, 384, 8, moe::dev::routing::TopKExpertSelect<moe::dev::routing::... |
| 165 | triton_poi_fused_mul_silu_slice_0                  | 3519584433172961 | 3519584433175041 | 2080          | 5644   | compute_kernel  | (2,1,1)    | (128,1,1)  | 16       | 0         |                             |                                   |            |           | triton_poi_fused_mul_silu_slice_0                                                                                                                                                                        |
| 166 | void at::native::vectorized_elementwise_kernel<... | 3519584433175649 | 3519584433176961 | 1312          | 5644   | compute_kernel  | (1,1,1)    | (128,1,1)  | 16       | 0         |                             |                                   |            |           | void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>)                                      |
| 167 | void vllm::cvt_fp16_to_fp4<__nv_bfloat16, false... | 3519584433177281 | 3519584433178785 | 1504          | 5644   | compute_kernel  | (128,1,1)  | (32,1,1)   | 32       | 0         |                             |                                   |            |           | void vllm::cvt_fp16_to_fp4<__nv_bfloat16, false>(int, int, int, __nv_bfloat16 const*, float const*, unsigned int*, unsigned int*)                                                                        |
| 168 | bmm_E2m1_E2m1E2m1_Fp32_bA16_bB16_bC16_t128x8x51... | 3519584433177793 | 3519584433187713 | 9920          | 23     | compute_kernel  | (4,8,1)    | (512,1,1)  | 128      | 202240    |                             |                                   |            |           | bmm_E2m1_E2m1E2m1_Fp32_bA16_bB16_bC16_t128x8x512u2_s5_et128x8_m128x8x64_c1x1x1_16dp256b_rM_TN_transOut_schedS_biasFp32M_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_dynB_sm100f                                 |
| 169 | _ZN7cutlass13device_kernelIN10flashinfer4gemm58... | 3519584433178849 | 3519584433185633 | 6784          | 5644   | compute_kernel  | (2,56,1)   | (256,1,1)  | 89       | 218112    |                             |                                   |            |           | _ZN7cutlass13device_kernelIN10flashinfer4gemm58DeviceGemmFp4GemmSm100___nv_bfloat16_128_128_256_2_4_1_2SM12Sm10x11xOnlyINS_4gemm6kernel13GemmUniversalIN4cute5tupleIJiiiiEEENS5_10collective13Collect... |
| 170 | bmm_Bfloat16_E2m1E2m1_Fp32_bA16_bB16_t128x8x256... | 3519584433183713 | 3519584433191649 | 7936          | 23     | compute_kernel  | (56,8,1)   | (512,1,1)  | 128      | 124752    |                             |                                   |            |           | bmm_Bfloat16_E2m1E2m1_Fp32_bA16_bB16_t128x8x256_s6_et128x8_m128x8x64_c1x1x1_16dp256b_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_rgTma_clmp_dynB_sm100f                                                     |
| 171 | void moe::dev::finalize::finalizeKernel<moe::de... | 3519584433189985 | 3519584433194593 | 4608          | 23     | compute_kernel  | (28,1,1)   | (256,1,1)  | 32       | 0         |                             |                                   |            |           | void moe::dev::finalize::finalizeKernel<moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true> >(moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16... |
| 172 | triton_poi_fused_add_mul_0                         | 3519584433194753 | 3519584433196129 | 1376          | 23     | compute_kernel  | (7,1,1)    | (128,1,1)  | 26       | 0         |                             |                                   |            |           | triton_poi_fused_add_mul_0                                                                                                                                                                               |
| 173 | void flashinfer::trtllm_allreduce_fusion::allre... | 3519584433196385 | 3519584433202913 | 6528          | 23     | communication   | (4,1,1)    | (224,1,1)  | 62       | 136       | flashinfer_allreduce_fusion |                                   |            |           | void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, true, true>(flashinfer::trtllm_al... |
| 174 | void fused_a_gemm_kernel<1, 2112, 7168, 16, 8, ... | 3519584433203233 | 3519584433210561 | 7328          | 23     | compute_kernel  | (132,1,1)  | (256,1,1)  | 48       | 197632    |                             |                                   |            |           | void fused_a_gemm_kernel<1, 2112, 7168, 16, 8, 256, 16>(__nv_bfloat16*, __nv_bfloat16 const*, __nv_bfloat16 const*, int)                                                                                 |
| 175 | triton_poi_fused_1                                 | 3519584433211041 | 3519584433212993 | 1952          | 23     | compute_kernel  | (1,1,1)    | (128,1,1)  | 47       | 0         |                             |                                   |            |           | triton_poi_fused_1                                                                                                                                                                                       |
| 176 | triton_red_fused_2                                 | 3519584433213313 | 3519584433215809 | 2496          | 23     | compute_kernel  | (2,1,1)    | (512,1,1)  | 26       | 8192      |                             |                                   |            |           | triton_red_fused_2                                                                                                                                                                                       |
| 177 | nvjet_sm100_tst_16x64_64x16_4x1_v_bz_TNN           | 3519584433215809 | 3519584433221601 | 5792          | 23     | compute_kernel  | (96,1,1)   | (256,1,1)  | 255      | 172552    |                             |                                   |            |           | nvjet_sm100_tst_16x64_64x16_4x1_v_bz_TNN                                                                                                                                                                 |
| 178 | triton_poi_fused_add_copy_expand_index_mul_neg_... | 3519584433221889 | 3519584433223905 | 2016          | 23     | compute_kernel  | (2,1,1)    | (128,1,1)  | 56       | 0         |                             |                                   |            |           | triton_poi_fused_add_copy_expand_index_mul_neg_slice_split_stack_unsqueeze_view_3                                                                                                                        |
| 179 | void vllm::concat_and_cache_mla_kernel<__nv_bfl... | 3519584433224385 | 3519584433226689 | 2304          | 23     | compute_kernel  | (1,1,1)    | (512,1,1)  | 30       | 0         |                             |                                   |            |           | void vllm::concat_and_cache_mla_kernel<__nv_bfloat16, unsigned char, (vllm::Fp8KVCacheDataType)1>(__nv_bfloat16 const*, __nv_bfloat16 const*, unsigned char*, long const*, int, int, int, int, int, i... |
| 180 | nvjet_sm100_tst_64x8_64x16_4x1_v_bz_NNT            | 3519584433226689 | 3519584433229793 | 3104          | 23     | compute_kernel  | (64,1,1)   | (256,1,1)  | 255      | 156168    |                             |                                   |            |           | nvjet_sm100_tst_64x8_64x16_4x1_v_bz_NNT                                                                                                                                                                  |
| 181 | triton_poi_fused__to_copy_cat_clamp_mul_recipro... | 3519584433230113 | 3519584433231969 | 1856          | 23     | compute_kernel  | (18,1,1)   | (128,1,1)  | 16       | 0         |                             |                                   |            |           | triton_poi_fused__to_copy_cat_clamp_mul_reciprocal_view_0                                                                                                                                                |
| 182 | fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512HVP... | 3519584433231969 | 3519584433241057 | 9088          | 23     | compute_kernel  | (74,2,1)   | (512,1,1)  | 128      | 161456    |                             |                                   |            |           | fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512HVPerCta256PagedKvDenseP32MultiCtasKvVarSeqQ8Kv128StaticSwapsAbForGen                                                                                        |
| 183 | nvjet_sm100_tst_8x64_64x16_4x1_v_bz_TNN            | 3519584433241057 | 3519584433244897 | 3840          | 23     | compute_kernel  | (128,1,1)  | (256,1,1)  | 255      | 156168    |                             |                                   |            |           | nvjet_sm100_tst_8x64_64x16_4x1_v_bz_TNN                                                                                                                                                                  |
| 184 | nvjet_sm100_tst_64x8_64x16_4x1_v_bz_TNT            | 3519584433243713 | 3519584433249281 | 5568          | 23     | compute_kernel  | (112,1,1)  | (256,1,1)  | 255      | 156168    |                             |                                   |            |           | nvjet_sm100_tst_64x8_64x16_4x1_v_bz_TNT                                                                                                                                                                  |
| 185 | void flashinfer::trtllm_allreduce_fusion::allre... | 3519584433247777 | 3519584433256513 | 8736          | 23     | communication   | (4,1,1)    | (224,1,1)  | 62       | 136       | flashinfer_allreduce_fusion |                                   |            |           | void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, true, true>(flashinfer::trtllm_al... |
| 186 | void router_gemm_kernel_float_output<__nv_bfloa... | 3519584433256833 | 3519584433259873 | 3040          | 23     | compute_kernel  | (384,1,1)  | (128,1,1)  | 64       | 16        |                             |                                   |            |           | void router_gemm_kernel_float_output<__nv_bfloat16, 128, 8, 1, 384, 7168>(float*, __nv_bfloat16 const*, __nv_bfloat16 const*)                                                                            |
| 187 | void at::native::vectorized_elementwise_kernel<... | 3519584433257121 | 3519584433258337 | 1216          | 5644   | compute_kernel  | (14,1,1)   | (128,1,1)  | 16       | 0         |                             |                                   |            |           | void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>)                                      |
| 188 | void vllm::cvt_fp16_to_fp4<__nv_bfloat16, false... | 3519584433258817 | 3519584433261121 | 2304          | 5644   | compute_kernel  | (128,2,1)  | (512,1,1)  | 32       | 0         |                             |                                   |            |           | void vllm::cvt_fp16_to_fp4<__nv_bfloat16, false>(int, int, int, __nv_bfloat16 const*, float const*, unsigned int*, unsigned int*)                                                                        |
| 189 | void at::native::vectorized_elementwise_kernel<... | 3519584433260193 | 3519584433261857 | 1664          | 23     | compute_kernel  | (1,1,1)    | (128,1,1)  | 16       | 0         |                             |                                   |            |           | void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<unsigned char>, std::array<char*, 1ul> >(int, at::native::FillFunctor<unsigned char>, std::array<char*, 1ul>)                  |
| 190 | _ZN7cutlass13device_kernelIN10flashinfer4gemm58... | 3519584433261057 | 3519584433270561 | 9504          | 5644   | compute_kernel  | (2,4,1)    | (256,1,1)  | 89       | 218112    |                             |                                   |            |           | _ZN7cutlass13device_kernelIN10flashinfer4gemm58DeviceGemmFp4GemmSm100___nv_bfloat16_128_128_256_2_4_1_2SM12Sm10x11xOnlyINS_4gemm6kernel13GemmUniversalIN4cute5tupleIJiiiiEEENS5_10collective13Collect... |
| 191 | void vllm::cvt_fp16_to_fp4_sf_major<__nv_bfloat... | 3519584433262305 | 3519584433264545 | 2240          | 23     | compute_kernel  | (1,2,1)    | (512,1,1)  | 32       | 0         |                             |                                   |            |           | void vllm::cvt_fp16_to_fp4_sf_major<__nv_bfloat16, false>(int, int, int, int, __nv_bfloat16 const*, float const*, unsigned int*, unsigned int*)                                                          |
| 192 | void at::native::vectorized_elementwise_kernel<... | 3519584433264993 | 3519584433266689 | 1696          | 23     | compute_kernel  | (1,1,1)    | (128,1,1)  | 32       | 0         |                             |                                   |            |           | void at::native::vectorized_elementwise_kernel<8, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::bfloat16_copy_kernel_c... |
| 193 | void moe::dev::routing::routingCustom::routingI... | 3519584433266817 | 3519584433274177 | 7360          | 23     | compute_kernel  | (1,1,1)    | (384,1,1)  | 40       | 4768      |                             |                                   |            |           | void moe::dev::routing::routingCustom::routingIndicesBlockKernel<moe::dev::routing::routingCustom::KernelParams<float, __nv_bfloat16, 384, 8, moe::dev::routing::TopKExpertSelect<moe::dev::routing::... |
| 194 | triton_poi_fused_mul_silu_slice_0                  | 3519584433271009 | 3519584433273153 | 2144          | 5644   | compute_kernel  | (2,1,1)    | (128,1,1)  | 16       | 0         |                             |                                   |            |           | triton_poi_fused_mul_silu_slice_0                                                                                                                                                                        |
